S.No,Item,10 Gms,20 Gms,30 Gms,50 Gms,100 Gms,200 Gms,250 Gms2,500 Gms,1Kg,25 Gms
1,Cardamom,,,110,180,350,,,1700,,
2,Pepper,,,,45,90,,220,430,850,
3,Tea Powder (Pasu Paara),,,,,,,,140,280,
4,Tea Powder (Kanni Maara),,,,,,,,140,280,
5,Cashew,,,,60,120,,300,600,1150,
6,Pista,,,,,160,,,900,,
7,Kismis(Black),,,,30,60,,150,290,,
8,Kismis(White),,,,,,,140,270,,
9,Almond(Badam),,,,60,120,,300,600,1200,
10,Nutmace (?????????????),40,80,,,,,,,,
11,Clove (Grambu),,,,65,130,,,,,
12,NutMeg (??????????),,15,,35,70,,,,,
13,Bayfin Cripton FLV,,,,,60,,,,,
14,Safari Caramel Crunchy,,,,,50,,,,,
15,Home Made Choco White & Dark,,,,,60,,,,,
16,Sayan Dates Soft,,,,20,40,,100,200,400,
17,Apricot Loose Turkle,,,,70,110,,,,,
18,Mixed Nuts,,,,60,120,,,,,
19,Kiwi Brazil,,,,35,60,,,,,
20,Black Berry Plum,,,,,80,150,,,C,
21,Bazana Pista California,,,,,180,,450,,,
22,Star Annasi,,,,45,90,,,,,
23,Kerala Patta,,,,30,60,,,,,
24,Kalpasi,15,30,,,,,,,,
25,Cinamon Roll Tiger,,,,45,90,,,,,
26,AC 118 Spices GIFTBOX,500 Box,,,,,,,,,
27,Kinza Hiney Nuts,,,,,,,220,,,
28,Home Made Choco,,,,,70,,,,,
29,Belgium Chocolates,,,,75,150,,,,,
30,Chocolate Coconut Coated,,,,,,220,,,,
31,Chocolate Cashew Coated,,,,,,260,,,,
32,Chocolate Almond Coated,,,,,,260,,,,
33,Cashew 320 Chilly Garlic,,,,70,140,,,,,
34,Cashew 320 Pepper Garlic,,,,70,140,,,,,
35,Cashew 320 Salt,,,,60,120,,,,,
36,Cashew 320 Chilly,,,,65,130,,,,,
37,Bazana Pista Premium,,,,,180,,450,,,
38,Bay Leaf,,,,30,,,,,,15
39,Forest Honey ,700 Ml-560,,,,,,,,800,
40,Coconut Oil,1 lit-350,500ml-175,,,,,,,,
41,Kinder Joy,1 Pcs - 5,,,,,,,,,
42,5 Star,1 Pcs - 5,,,,,,,,,
43,Milky Bar,1 Pcs - 5,,,,,,,,,
44,Kit Kat,1 Pcs - 5,,,,,,,,,
45,Banana Chips 3 Months,,,,,40,,100,,,
46,Chakka Chips 12 Months,,,,,50,,,,,
47,KODAM PULI,,,,,80,,,,,
48,Perungayam,,,20,,,,,,,
49,Saptha Seeds,,,,40,,,,,,
50,Pathimugam,10,,,,,,,,,
51,Walnut Box,,,,,160,,350,,,
52,Peanut,,,,,,,50,,,
53,Assam Turmeric Powder,,,,,140,,,,,
54,Connemaara Filter Coffee,,,,,,,300,,,
55,Connemaara Cardamom Tea,,,,,,,240,,,
56,Connemaara Ginger Tea,,,,,,,240,,,
57,Connemaara Masal Tea,,,,,,,280,,,
58,Connemaara Green Tea,,,,,,,230,,,
59,Connemaara Special Tea,,,,,,,,160,,
60,Connemaara  Tea,,,,,,,,140,,
61,Connemaara Kolunthu Tea,,,,,,,280,,,
62,Aththipalam ,,,,,130,,,,,
63,Dilan Dates ,,,,,,,100,200,,
64,Cherry,,,,,30,,,,,
65,Dry Mix Nuts Box 200G,220 Box,,,,,,,,,
66,Kismis (Green),,,,30,60,,,,,
67,Pista Biscuits ,120 Box,,,,,,,,,
68,Amla,110 Box,,,,,,,,,
69,Walnut ,,,,80,160,,,,,
70,Makhana 70G,200,,,,,,,,,
71,Cashew Bolt,,,,,140,,,,,
72,Pana Kalkandu,,,,40,,,,,,
73,Adela 750ML,300,,,,,,,,,
74,Zian Royalty 750ML,420,,,,,,,,,
75,Edanburg Red Wine 750ML,600,,,,,,,,,
76,Castillo De Wine 1L,450,,,,,,,,,
77,Bavaria Health Drink 300ML,110,,,,,,,,,
78,Dry Fruits Mixed 300 G,290,,,,,,,,,
79,Chocolate Giftbox(Round),200,,,,,,,,,
80,Chocolate Giftbox(Heart),180,,,,,,,,,
81,Chocolate Giftbox(Oval),230,,,,,,,,,
82,Blue Berry Chewy ,10 Pcs,,,,,,,,,
83,Orange Chewy,10 Pcs,,,,,,,,,
84,Rose Love Chocolate,120,,,,,,,,,
85,A One Dry Fruit 150G,180,,,,,,,,,
86,Raffino Dry Fruits Mix 250G,300,,,,,,,,,
87,Cream Crackers Buscuit ,180,,,,,,,,,
88,Apple Vinegar,125,,,,,,,,,
